,Unnamed: 0,itemID_1,itemID_2,isDuplicate,generationMethod,d_price,d_categoryID,d_title,d_len_title,d_description,d_len_description,d_locationID,d_attrsJSON,d_len_attrsJSON,d_metroID,d_images,d_len_images,d_len_keys_attr,attr_keys1,attr_keys2
0,1521969,1814259,2506787,0,1,0,,False,0,False,0.13385826771653545,True,True,0,True,False,0.3333333333333333,0,3,3
1,1114680,1260189,4344066,1,1,0,,True,0,True,0,True,True,0,False,False,1.0,0,1,1
2,1943280,2478614,5710710,0,3,0.24615384615384617,,False,0.19047619047619047,False,0.2900763358778626,True,False,0.04553415061295972,False,False,0.06666666666666667,0.03225806451612903,16,15
3,1803975,2246210,3068933,1,1,0.076923076923076927,,False,0.25274725274725274,False,0.2893772893772894,False,True,0,False,True,0,0,3,3
4,399988,419103,2755109,1,1,0.030303030303030304,,False,0.22448979591836735,False,0.4782608695652174,True,False,0,False,False,0.6666666666666666,0,3,3
5,2140090,2834972,4835688,0,1,0.028037383177570093,,False,0.010526315789473684,False,0.13583959899749373,True,True,0,True,True,0,0,1,1
6,1992813,2565745,3428950,0,1,0,,False,0.09090909090909091,False,0.21666666666666667,True,True,0,False,True,0,0,2,2
7,1721720,2115922,4355445,1,1,0,,False,0.12658227848101267,False,0.04137392661982826,True,True,0,False,True,0,0,1,1
8,2457687,3517618,5901120,0,3,0.14285714285714285,,False,0.14473684210526316,False,0.14786418400876233,True,True,0,True,True,0,0,3,3
9,1669403,2035479,2124640,0,1,0.13333333333333333,,False,0.02857142857142857,False,0.027777777777777776,True,True,0,True,True,0,0,1,1
10,428999,449732,4867108,0,1,0.20985810306198655,,False,0.044585987261146494,False,0.12311435523114356,True,True,0,False,False,0.25,0,1,1
11,1766706,2186970,4918252,0,3,0.23076923076923078,,False,0.15254237288135594,False,0.43243243243243246,True,False,0.0034602076124567475,False,True,0,0,3,3
12,2557233,3769565,5123642,0,3,0.30434782608695654,,False,0.4434782608695652,False,0.30851063829787234,True,True,0,True,False,0.3333333333333333,,,
13,2262872,3080220,4695257,0,1,0.081081081081081086,,False,0.35135135135135137,False,0.3132530120481928,True,True,0,False,False,0.14285714285714285,0,3,3
14,583691,622544,1558811,1,1,0.058823529411764705,,True,0,False,0.2235294117647059,True,True,0,False,True,0,0,3,3
15,97013,99749,1477907,0,1,0,,True,0,False,0.24041811846689895,True,True,0,False,True,0,0,1,1
16,2001070,2580494,4200138,0,1,0.0084317032040472171,,True,0,False,0.10301109350237718,True,True,0,True,True,0,0,1,1
17,1557917,1867266,3185285,0,3,0.20000000000000001,,False,0,False,0.046242774566473986,True,False,0.23492349234923493,False,False,0.13043478260869565,0.23529411764705882,21,13
18,2278965,3113940,5044086,0,1,0,,False,0.13432835820895522,False,0.2711864406779661,True,True,0,False,False,0.1111111111111111,0,3,3
19,1522107,1814446,3779088,0,1,0,,False,0.047619047619047616,True,0,True,True,0,False,False,0.3333333333333333,0,3,3
20,2874416,4896128,5861071,0,1,0,,True,0,False,0.4421768707482993,True,False,0.10941475826972011,False,True,0,0.125,18,14
21,2441215,3477561,3885827,1,1,0,,True,0,False,0.118491921005386,True,True,0,False,False,1.0,0,9,9
22,1897389,2400656,4013013,1,1,0,,True,0,False,0.1282051282051282,True,False,0.005235602094240838,False,True,0,0,8,8
23,2701545,4197172,5618556,0,1,0,,True,0,False,0.43529411764705883,True,True,0,False,False,0.3333333333333333,0,1,1
24,2632170,3980333,4009397,0,3,0.57894736842105265,,False,0.42857142857142855,False,0.4,True,True,0,False,False,0.3333333333333333,0,1,1
25,2539424,3723026,5343868,1,1,0.016949152542372881,,False,0,False,0.015748031496062992,True,True,0,False,False,0.14285714285714285,0,8,8
26,1629873,1975095,3791618,0,1,0,,False,0,True,0,True,True,0,True,True,0,0,1,1
27,1387582,1622302,2505014,1,1,0.043478260869565216,,True,0,False,0.08695652173913043,True,True,0,False,True,0,0,9,9
28,2561419,3781244,5476565,0,1,0,,True,0,False,0,True,True,0,True,True,0,0,2,2
29,1315731,1524419,4699423,1,1,0,,False,0.6952380952380952,False,0.39037433155080214,True,True,0,False,True,0,0,1,1
30,68020,69883,3159492,0,1,0.66666666666666663,,False,0.3958333333333333,True,0,True,True,0,False,True,0,0,1,1
31,1518776,1809857,3844875,1,1,0.45454545454545453,,False,0.013513513513513514,False,0.051027170311464545,True,True,0,False,True,0,0,1,1
32,2296603,3151236,4301324,1,1,0.16666666666666666,,True,0,False,0.1346153846153846,True,True,0,True,True,0,0,1,1
33,1732516,2132750,6111179,1,1,0,,False,0.12359550561797752,False,0.4282238442822384,True,False,0,True,True,0,0,9,9
34,2736488,4316679,5823011,1,1,0,,True,0,False,0.015567086730911787,True,True,0,True,True,0,0,1,1
35,2311855,3183081,3928862,0,3,0.30769230769230771,,False,0.23809523809523808,False,0.23770491803278687,True,False,0.11724137931034483,True,False,0.3333333333333333,0,1,1
36,350026,365071,2232270,0,3,0.33333333333333331,,False,0.23943661971830985,False,0.1308411214953271,True,True,0,True,False,0.3333333333333333,0,3,3
38,363465,379527,5386783,1,1,0,,True,0,False,0.10795454545454546,True,True,0,False,False,0.2,0,1,1
39,2140100,2834989,5241535,1,3,0.14285714285714285,,True,0,False,0.0013315579227696406,True,True,0,False,False,0.25,0,1,1
40,2574872,3817260,5809336,0,1,0.030303030303030304,,False,0.006993006993006993,False,0.05859444149406975,True,False,0.10714285714285714,True,False,0.3333333333333333,0,1,1
42,1664830,2028116,2353678,1,1,0,,True,0,False,0.33161290322580644,True,True,0,True,False,0.2,0,1,1
43,2706413,4213093,5418193,1,1,0,,False,0.007518796992481203,False,0.21245421245421245,True,True,0,False,False,0.14285714285714285,0,1,1
44,560408,596541,6012636,0,1,0,,False,0.38,False,0.0007092198581560284,True,True,0,False,True,0,0,1,1
45,2826869,4672080,4711178,0,3,0.025820875893209416,,False,0.21100917431192662,False,0.09120389136603162,True,True,0,False,False,0.1111111111111111,0,1,1
46,2475823,3562557,4492300,0,1,0,,False,0.1388888888888889,False,0.11455108359133127,True,True,0,False,True,0,0,1,1
48,2780906,4480955,5896395,0,1,0.01098901098901099,,True,0,False,0.9120879120879121,False,False,0.2398884239888424,False,False,0.6,0.2857142857142857,27,15
49,2696440,4180766,4963362,0,1,0,,False,0.35135135135135137,False,0.02783109404990403,True,True,0,True,False,0.6666666666666666,0,1,1
50,540078,574375,3490550,0,1,0.026049910663025224,,False,0.04819277108433735,False,0.02669978267618752,True,True,0,True,True,0,0,1,1
51,2707065,4215139,5227273,1,1,0.22580645161290322,,False,0.09333333333333334,False,0.21379310344827587,True,True,0,False,True,0,0,1,1
52,2283796,3124199,3488334,0,1,0.14285714285714285,,False,0.15,False,0.13647642679900746,True,True,0,True,True,0,0,1,1
